"name","zone","page"
"Pagurus hirsutiusculus","Zone 3","278"
"Pagurus hirsutiusculus","Zone 2","37"
"Pagurus hirsutiusculus","Zone 4","289"
"Tetraclita rubescens","Zones 2 and 3","234"
"Chthamalus fissus","Zone 1","26"
"Chthamalus fissus","Zones 1 and 2","272"
"Nucella emarginata","Zones 2 and 3","230"
"Nucella emarginata","Zones 2 and 3","231"
"Nucella emarginata","Zone 3","276"
"Neoamphitrite robusta","Zone 3","81"
"Neoamphitrite robusta","Zone 4","306"
"Ectopleura marina","Zone 4","110"
"Ectopleura marina","Zone 4","111"
"Ectopleura marina","Zone 4","238"
"Lophopanopeus bellus","Zone 4","305"
"Traskorchestia traskiana","Zone 1","22"
"Oligocottus maculosus","Zone 4","196"
"Hermissenda crassicornis","Zone 4","140"
"Eudistoma psammion","Zone 4","126"
"Eudistoma psammion","Zone 4","127"
"Carcinonemertes errans","Zone 4","202"
"Doris montereyensis","Zone 4","137"
"Doris montereyensis","Zone 4","138"
"Hemigrapsus nudus","Zone 3","58"
"Hemigrapsus nudus","Zone 4","137"
"Hemigrapsus nudus","Zones 1 and 2","273"
"Hemigrapsus nudus","Zone 3","278"
"Hemigrapsus nudus","Zone 4","202"
"Ceratostoma foliatum","Zone 4","149"
"Ceratostoma foliatum","Zone 4","150"
"Ceratostoma foliatum","Zone 4","247"
"Ceratostoma foliatum","Zone 3","277"
"Ceratostoma foliatum","Zone 4","289"
"Tanystylum californicum","Zone 4","118"
"Rostanga pulchra","Zone 3","63"
"Rostanga pulchra","Zone 3","64"
"Rostanga pulchra","Zone 4","137"
"Discorsopagurus schmitti","Zone 4","307"
"Dendraster excentricus","Zone 4","284"
"Ammothea hilgendorfi","Zone 4","118"
"Ammothea hilgendorfi","Zone 4","119"
"Cucumaria piperata","Zone 4","310"
"Pinnixa franciscana","Zone 4","307"
"Aeolidia papillosa","Zone 4","140"
"Aeolidia papillosa","Zone 4","141"
"Pisaster brevispinus","Zone 4","284"
"Pisaster brevispinus","Zone 4","285"
"Phyllochaetopterus prolifica","Zone 4","153"
"Phyllochaetopterus prolifica","Zone 4","184"
"Micrura verrilli","Zone 4","183"
"Petrolisthes eriomerus","Zone 4","306"
"Crepidula norrisiarum","Zone 4","180"
"Crepidula norrisiarum","Zone 4","181"
"Nuttallina californica","Zones 2 and 3","234"
"Nuttallina californica","Zones 2 and 3","235"
"Nuttallina californica","Zone 4","312"
"Nuttallina californica","Zone 4","180"
"Ophiopholis kennerlyi","Zone 4","155"
"Ophiopholis kennerlyi","Zone 4","157"
"Ophiopholis kennerlyi","Zone 4","311"
"Semibalanus cariosus","Zone 2","33"
"Semibalanus cariosus","Zones 1 and 2","270"
"Semibalanus cariosus","Zones 1 and 2","271"
"Semibalanus cariosus","Zones 1 and 2","272"
"Semibalanus cariosus","Zone 4","299"
"Proboscidactyla flavicirrata","Zone 4","184"
"Dermasterias imbricata","Zone 4","96"
"Dermasterias imbricata","Zone 4","105"
"Dermasterias imbricata","Zone 4","285"
"Dermasterias imbricata","Zone 4","286"
"Pisaster ochraceus","Zone 2","39"
"Pisaster ochraceus","Zone 4","95"
"Pisaster ochraceus","Zone 4","246"
"Pisaster ochraceus","Zone 3","276"
"Pisaster ochraceus","Zone 4","188"
"Pisaster ochraceus","Zone 4","284"
"Littorina plena","Zone 2","34"
"Boccardia proboscidea","Zone 1","31"
"Boccardia proboscidea","Zone 4","199"
"Mopalia muscosa","Zone 4","165"
"Mopalia muscosa","Zone 4","163"
"Mopalia muscosa","Zone 4","298"
"Halosydna brevisetosa","Zone 3","77"
"Halosydna brevisetosa","Zones 2 and 3","229"
"Halosydna brevisetosa","Zone 3","78"
"Leptasterias aequalis","Zone 4","285"
